name,latitude,longitude
Kline Federal 5300 41-18 13T2X,48.06867222,-103.6033194
Lewis Federal 5300 11-3 33-053-08946,48.03564722,-103.6031083
Kline Federal 5300 41-18 14BX,48.06858333,-103.6033194
DAHL 15-11H,48.06666667,-103.6333333
KLINE FEDERAL 5300 41-18 9T,48.06903611,-103.6033222
Chalmers 5300 21-19 10T I,48.06129167,-103.6028056
Magnum 1-36-25H ,48.02509722,-103.6223194
Federal 5300 31-18 6B,48.07430833,-103.6031389
FOLEY FEDERAL,48.08276111,-103.6116056
Kline Federal 5300 31-18 8B,48.07448889,-103.6031389
KLINE FEDERAL 5300 31-18 7T,48.0744,-103.6031389
Gramma Federal 5300 41-3112B,48.02617222,-103.6028611
Wade Federal 5300 41-30 4T,48.04225833,-103.6031667
Kline Federal 5300 11-18 3T,48.07919167,-103.6029167
Kline Federal 5300 11-18 2B,48.07935556,-103.6028056
DAHL FEDERAL 2-15H,48.06666667,-103.65
Chalmers 5300 21-19 11 B,48.0612,-103.6028056
CHALMERS 5300 21-19 98 Q L,48.06138056,-103.6028056
Federal 5300 31-30 11T,48.04415833,-103.6026944
Kline Federal 5300 41-18 12TX,48.06876389,-103.6033194
Cc lumbus Federal 1-16H,48.07490694,-103.6702083
Lewis Federal 5300 1 33-053-06548,48.03582778,-103.6030861
Lewis Federal 5300 1 33-053-06549,48.03591667,-103.6030722
